epoch,train_loss,valid_loss,accuracy,f_beta,kappa_score,top_k_accuracy,precision,recall,time
0,3.612890,3.594336,0.253338,0.000000,0.279146,0.544368,0.000000,0.000000,24:39
1,3.392834,3.433062,0.295339,0.000000,0.312158,0.611920,0.000000,0.000000,22:02
2,3.238278,3.289146,0.336247,0.000000,0.359448,0.651493,0.000000,0.000000,23:01
3,3.214437,3.267919,0.333758,0.000000,0.344286,0.651190,0.000000,0.000000,22:15
4,3.152350,3.091821,0.362406,0.000000,0.369137,0.694647,0.000000,0.000000,22:41
5,2.971819,3.067166,0.373938,0.000000,0.388833,0.708728,0.000000,0.000000,22:22
6,2.933270,3.099712,0.374059,0.000000,0.375258,0.697439,0.000000,0.000000,22:31
7,2.860907,2.963726,0.402464,0.000000,0.407011,0.735433,0.000000,0.000000,23:16
8,2.780374,2.812448,0.438517,0.000000,0.443083,0.771789,0.000000,0.000000,22:12
9,2.722821,2.752010,0.458060,0.000000,0.444066,0.781015,0.000000,0.000000,22:22
10,2.622384,2.738950,0.464069,0.000000,0.452447,0.783443,0.000000,0.000000,23:07
11,2.589458,2.751649,0.455268,0.000000,0.447074,0.776463,0.000000,0.000000,22:10
12,2.620356,2.670040,0.477361,0.000000,0.468927,0.789148,0.000000,0.000000,22:48
13,2.563829,2.616168,0.496601,0.000000,0.492027,0.805050,0.000000,0.000000,22:05
14,2.509329,2.693527,0.472991,0.000000,0.478086,0.794489,0.000000,0.000000,22:49
15,2.402760,2.560066,0.516327,0.000000,0.519729,0.821316,0.000000,0.000000,23:18
16,2.434763,2.485457,0.532047,0.000000,0.518389,0.830723,0.000000,0.000000,21:56
17,2.368623,2.503543,0.532957,0.000000,0.523221,0.829813,0.000000,0.000000,22:14
18,2.399764,2.493713,0.533807,0.000000,0.520252,0.832666,0.000000,0.000000,22:53
19,2.366049,2.454386,0.552136,0.000000,0.544026,0.841284,0.000000,0.000000,23:43
20,2.277399,2.426703,0.549769,0.000000,0.534387,0.842559,0.000000,0.000000,24:37
21,2.266707,2.371216,0.574533,0.000000,0.559274,0.850328,0.000000,0.000000,21:35
22,2.246107,2.369379,0.571680,0.000000,0.559098,0.852756,0.000000,0.000000,21:55
23,2.204185,2.369109,0.575686,0.000000,0.567083,0.855062,0.000000,0.000000,22:43
24,2.163635,2.387844,0.575807,0.000000,0.560489,0.855426,0.000000,0.000000,21:50
25,2.192921,2.339345,0.588128,0.000000,0.568411,0.866776,0.000000,0.000000,21:51
26,2.117357,2.329895,0.589221,0.000000,0.574688,0.864470,0.000000,0.000000,22:50
27,2.105424,2.283453,0.602209,0.000000,0.583561,0.873392,0.000000,0.000000,21:50
28,2.075256,2.303976,0.593348,0.000000,0.573507,0.869568,0.000000,0.000000,22:27
29,2.012558,2.260321,0.604698,0.000000,0.587442,0.874909,0.000000,0.000000,21:52
30,1.993010,2.238160,0.613498,0.000000,0.600073,0.882010,0.000000,0.000000,21:54
31,2.003538,2.207689,0.623270,0.000000,0.600248,0.884802,0.000000,0.000000,22:38
32,1.893245,2.185130,0.629158,0.000000,0.610335,0.890447,0.000000,0.000000,22:43
33,1.850184,2.180641,0.635045,0.000000,0.595829,0.890386,0.000000,0.000000,21:47
34,1.824265,2.176530,0.640265,0.000000,0.625313,0.893239,0.000000,0.000000,22:38
35,1.786275,2.192705,0.644270,0.000000,0.590009,0.894331,0.000000,0.000000,23:48
36,1.762034,2.161148,0.649430,0.000000,0.586849,0.898701,0.000000,0.000000,23:09
37,1.754142,2.161872,0.649126,0.000000,0.630911,0.898094,0.000000,0.000000,21:54
38,1.737882,2.160362,0.650036,0.000000,0.630862,0.898944,0.000000,0.000000,26:08
39,1.731703,2.159643,0.650279,0.000000,0.634178,0.899308,0.000000,0.000000,23:01
