'epoch','train_loss','valid_loss','accuracy','f_beta',time
'0','2.146462','1.983170','0.556937','0.469421',10:40
'1','2.004675','1.878394','0.595098','0.523838',10:57
'2','1.959044','1.902287','0.601044','0.531659',11:50
'3','1.918576','1.858631','0.614209','0.549128',10:49
'4','1.887640','1.827201','0.627010','0.564727',10:57
'5','1.814720','1.807642','0.621913','0.559384',11:08
'6','1.825783','1.838943','0.627192','0.561605',10:53
'7','1.770134','1.786110','0.638597','0.571191',11:10
'8','1.706837','1.782812','0.641024','0.580558',11:05
'9','1.657147','1.758461','0.648365','0.583819',10:55
'10','1.648866','1.722310','0.656434','0.603023',10:58
'11','1.586563','1.736853','0.658375','0.601198',10:59
'12','1.572514','1.691852','0.675059','0.624380',11:01
'13','1.496308','1.697529','0.678942','0.624896',11:29
'14','1.485797','1.677320','0.679791','0.619899',11:12
'15','1.432074','1.654510','0.688042','0.647458',11:00
'16','1.424091','1.710885','0.686040','0.633212',11:08
'17','1.343730','1.660109','0.686950','0.642527',11:04
'18','1.330202','1.705111','0.685009','0.627686',10:56
'19','1.312253','1.690152','0.689316','0.640927',11:05
'20','1.260330','1.712562','0.691440','0.646194',11:02
'21','1.266259','1.713220','0.689741','0.639850',11:03
'22','1.244249','1.683506','0.692289','0.639501',11:00
'23','1.167732','1.725248','0.690712','0.640488',11:00
'24','1.161383','1.688647','0.694898','0.639438',10:57
'25','1.158894','1.733018','0.691076','0.640329',11:08
'26','1.124045','1.675180','0.698963','0.655130',10:57
'27','1.079332','1.697351','0.701935','0.655188',11:12
'28','1.053392','1.693860','0.702906','0.654079',12:16
'29','1.029903','1.673649','0.700540','0.654557',10:55
'30','0.973858','1.704749','0.705879','0.651581',10:51
'31','0.949198','1.671743','0.704119','0.658518',10:53
'32','0.920201','1.668398','0.708063','0.662540',10:48
'33','0.908053','1.660631','0.716071','0.669875',10:55
'34','0.872431','1.642172','0.717952','0.669386',11:00
'35','0.851084','1.637371','0.721167','0.675189',10:57
'36','0.829725','1.626553','0.720500','0.672564',10:54
'37','0.835951','1.624767','0.720015','0.674280',10:46
'38','0.819582','1.623919','0.721289','0.674314',10:55
'39','0.820507','1.622798','0.720257','0.672902',11:30
