epoch,train_loss,valid_loss,accuracy,f_beta,kappa_score,precision,recall,time
0,0.754612,1.483272,0.767882,0.767882,0.736851,0.767882,0.767882,19:56
1,0.758258,1.482917,0.769156,0.769156,0.740185,0.769156,0.769156,19:57
2,0.757911,1.481370,0.770066,0.770066,0.741232,0.770066,0.770066,19:55
3,0.755034,1.485453,0.768003,0.768003,0.737788,0.768003,0.768003,20:14
4,0.741814,1.484749,0.769581,0.769581,0.740085,0.769581,0.769581,20:05
5,0.747606,1.484226,0.769581,0.769581,0.739870,0.769581,0.769581,20:02
6,0.744307,1.485235,0.770127,0.770127,0.741401,0.770127,0.770127,20:01
7,0.749475,1.486162,0.769884,0.769884,0.737731,0.769884,0.769884,20:03
8,0.744952,1.484011,0.770369,0.770369,0.742197,0.770369,0.770369,45:53
9,0.744286,1.488556,0.770127,0.770127,0.741435,0.770127,0.770127,40:49
10,0.743030,1.486047,0.769884,0.769884,0.741573,0.769884,0.769884,21:19
11,0.743453,1.488365,0.769581,0.769581,0.741347,0.769581,0.769581,20:03
12,0.745961,1.490849,0.769823,0.769823,0.742067,0.769824,0.769823,20:02
13,0.739742,1.490903,0.771522,0.771522,0.744381,0.771522,0.771522,20:10
14,0.733912,1.488126,0.770187,0.770188,0.743009,0.770187,0.770187,20:02
15,0.740436,1.487471,0.771401,0.771401,0.744758,0.771401,0.771401,20:00
16,0.740592,1.488794,0.770976,0.770976,0.746115,0.770976,0.770976,20:00
17,0.732715,1.487159,0.771219,0.771219,0.743976,0.771219,0.771219,20:00
18,0.744170,1.488448,0.770612,0.770612,0.745789,0.770612,0.770612,20:01
19,0.742041,1.488878,0.771037,0.771037,0.745992,0.771037,0.771037,20:16
