epoch,train_loss,valid_loss,accuracy,f_beta,time
0,1.897697,1.682147,0.662743,0.586169,36:52
1,1.779219,1.632861,0.686101,0.610792,38:31
2,1.720661,1.612356,0.691500,0.624731,36:45
3,1.701124,1.606914,0.692896,0.635889,35:56
4,1.730460,1.637309,0.683249,0.624599,35:46
5,1.693811,1.625954,0.692774,0.641160,35:59
6,1.670351,1.653273,0.682097,0.622951,38:43
7,1.570560,1.576370,0.706000,0.647731,36:29
8,1.532197,1.585164,0.711096,0.657214,37:04
9,1.498337,1.555029,0.719529,0.660592,38:04
10,1.456966,1.512515,0.729358,0.678179,37:17
11,1.462927,1.475039,0.734575,0.682910,39:34
12,1.416814,1.469617,0.745192,0.698864,36:03
13,1.351813,1.480168,0.745253,0.703225,39:35
14,1.320937,1.464545,0.747437,0.694711,38:23
15,1.288559,1.444335,0.755991,0.714642,37:01
16,1.266335,1.433910,0.756052,0.717892,37:28
17,1.228085,1.419088,0.758296,0.721433,36:57
18,1.213115,1.457898,0.754232,0.713412,40:33
19,1.208846,1.430472,0.763211,0.723588,37:33
20,1.156613,1.416982,0.769095,0.722579,37:13
21,1.123230,1.443595,0.771583,0.730075,36:06
22,1.083444,1.426447,0.773039,0.734037,36:08
23,1.037866,1.416002,0.777043,0.735076,37:17
24,1.058684,1.426905,0.776376,0.737679,37:21
25,1.040523,1.386312,0.779894,0.739201,39:47
26,0.995596,1.411124,0.782564,0.745364,56:41
27,0.984707,1.419068,0.783535,0.743666,42:43
28,0.951138,1.419677,0.779834,0.737316,40:11
29,0.907788,1.388160,0.790875,0.755494,37:38
30,0.891604,1.393589,0.789055,0.746911,37:17
31,0.861193,1.375070,0.796275,0.757282,36:47
32,0.831316,1.381533,0.797974,0.759232,37:39
33,0.809015,1.385637,0.800582,0.762965,39:14
