epoch,train_loss,valid_loss,accuracy,f_beta,kappa_score,top_k_accuracy,precision,recall,time
0,2.087980,1.909750,0.582605,0.582605,0.570784,0.875819,0.582605,0.582605,23:12
1,1.986762,1.880578,0.596443,0.596443,0.598483,0.884256,0.596443,0.596443,23:37
2,1.920695,1.814819,0.619871,0.619871,0.591799,0.892085,0.619871,0.619871,22:50
3,1.818676,1.777181,0.636502,0.636502,0.624127,0.899490,0.636502,0.636502,22:49
4,1.760882,1.734281,0.642692,0.642692,0.613931,0.902403,0.642692,0.642692,23:07
5,1.709293,1.686936,0.658534,0.658534,0.636610,0.907320,0.658534,0.658534,22:51
6,1.633795,1.654605,0.674496,0.674496,0.661882,0.910354,0.674496,0.674496,22:52
7,1.576525,1.639463,0.678927,0.678927,0.671426,0.914967,0.678927,0.678927,23:08
8,1.534818,1.615285,0.689366,0.689366,0.670500,0.921097,0.689366,0.689366,22:50
9,1.457188,1.583322,0.699017,0.699017,0.690821,0.922554,0.699017,0.699017,23:12
10,1.422080,1.557680,0.711216,0.711216,0.686922,0.924921,0.711216,0.711216,22:53
11,1.375311,1.516298,0.719167,0.719167,0.692845,0.927774,0.719167,0.719167,22:52
12,1.295375,1.502180,0.726875,0.726875,0.705522,0.929534,0.726875,0.726875,23:41
13,1.258501,1.498006,0.725783,0.725783,0.699728,0.932751,0.725783,0.725783,22:55
14,1.180323,1.507624,0.732399,0.732399,0.705023,0.929412,0.732399,0.732399,23:15
15,1.139126,1.468632,0.739500,0.739500,0.713918,0.934693,0.739500,0.739500,22:57
16,1.016642,1.462760,0.746419,0.746419,0.715367,0.936453,0.746419,0.746419,22:52
17,0.985616,1.457340,0.749757,0.749757,0.716303,0.936210,0.749757,0.749757,23:11
18,0.934895,1.450830,0.752792,0.752792,0.720645,0.936210,0.752792,0.752792,22:56
19,0.937023,1.449451,0.753763,0.753763,0.721095,0.936150,0.753763,0.753763,22:57
