epoch,train_loss,valid_loss,accuracy,f_beta,kappa_score,top_k_accuracy,precision,recall,time
0,1.957935,1.690188,0.656737,0.656737,0.636327,0.914275,0.656737,0.656737,39:10
1,1.796623,1.639031,0.673785,0.673785,0.644062,0.922162,0.673785,0.673785,46:07
2,1.746442,1.620117,0.691136,0.691136,0.679190,0.922162,0.691136,0.691136,39:07
3,1.743082,1.649260,0.684038,0.684038,0.665917,0.923315,0.684038,0.684038,40:17
4,1.680305,1.843721,0.632955,0.632955,0.623383,0.889705,0.632955,0.632955,39:08
5,1.714469,1.619164,0.693199,0.693199,0.668819,0.916763,0.693199,0.693199,40:59
6,1.597059,1.596210,0.704726,0.704726,0.686735,0.922526,0.704726,0.704726,40:19
7,1.539798,1.560220,0.712370,0.712370,0.692216,0.926106,0.712370,0.712370,41:44
8,1.555102,1.558500,0.712249,0.712249,0.676120,0.928108,0.712249,0.712249,39:01
9,1.503508,1.516179,0.721349,0.721349,0.694948,0.931445,0.721349,0.721349,38:29
10,1.456148,1.554162,0.718194,0.718194,0.694853,0.927501,0.718194,0.718194,40:52
11,1.421122,1.491838,0.741006,0.741006,0.732869,0.935752,0.741006,0.741006,40:45
12,1.379218,1.464667,0.745313,0.745313,0.735843,0.935267,0.745313,0.745313,38:54
13,1.312457,1.470694,0.748589,0.748589,0.722037,0.931809,0.748589,0.748589,38:19
14,1.328059,1.468952,0.749257,0.749257,0.731877,0.935691,0.749257,0.749257,39:54
15,1.297043,1.418352,0.764363,0.764363,0.749412,0.938603,0.764363,0.764363,40:00
16,1.290860,1.473079,0.753140,0.753140,0.736346,0.930898,0.753140,0.753140,41:43
17,1.220991,1.430385,0.759206,0.759206,0.744086,0.940545,0.759206,0.759206,38:31
18,1.184118,1.394229,0.774920,0.774920,0.759613,0.941212,0.774920,0.774920,38:19
19,1.185753,1.419870,0.766790,0.766790,0.738109,0.940423,0.766790,0.766790,37:35
20,1.173030,1.446727,0.761876,0.761876,0.746130,0.934721,0.761876,0.761876,47:22
21,1.138763,1.438128,0.766911,0.766911,0.750795,0.935995,0.766911,0.766911,39:22
