epoch,train_loss,valid_loss,accuracy,f_beta,top_k_accuracy,kappa_score,recall,precision,time
0,2.739295,2.638142,0.495541,0.000000,0.821513,0.484530,0.000000,0.000000,06:55
1,2.487737,2.438145,0.549718,0.000000,0.856458,0.539023,0.000000,0.000000,06:58
2,2.391901,2.337790,0.578414,0.000000,0.866772,0.566031,0.000000,0.000000,06:55
3,2.336960,2.331382,0.578232,0.000000,0.868107,0.565573,0.000000,0.000000,06:58
4,2.249409,2.271197,0.596554,0.000000,0.878420,0.584994,0.000000,0.000000,06:57
5,2.224161,2.242063,0.604623,0.000000,0.882000,0.585371,0.000000,0.000000,06:55
6,2.188427,2.220075,0.611418,0.000000,0.883516,0.596839,0.000000,0.000000,06:57
7,2.153142,2.185640,0.620579,0.000000,0.889098,0.611051,0.000000,0.000000,06:56
8,2.185241,2.198794,0.618637,0.000000,0.886974,0.605423,0.000000,0.000000,06:56
9,2.092478,2.172747,0.621913,0.000000,0.890979,0.596384,0.000000,0.000000,06:56
10,2.079537,2.138004,0.632288,0.000000,0.896863,0.604729,0.000000,0.000000,06:59
11,2.047197,2.116470,0.645574,0.000000,0.898623,0.619762,0.000000,0.000000,06:56
12,2.035873,2.138132,0.638476,0.000000,0.896135,0.621369,0.000000,0.000000,06:55
13,1.980280,2.121743,0.644907,0.000000,0.898198,0.622090,0.000000,0.000000,06:56
14,2.010583,2.109305,0.649154,0.000000,0.899047,0.623300,0.000000,0.000000,06:57
15,1.949280,2.104215,0.648608,0.000000,0.903112,0.630604,0.000000,0.000000,06:55
16,1.933887,2.128528,0.644361,0.000000,0.898502,0.617917,0.000000,0.000000,06:55
17,1.922939,2.109940,0.655524,0.000000,0.900018,0.633634,0.000000,0.000000,06:58
18,1.834923,2.111590,0.657465,0.000000,0.899715,0.632581,0.000000,0.000000,06:58
38,1.482402,2.171132,0.664563,0.000000,0.895650,0.643124,0.000000,0.000000,15:03
39,1.474699,2.163386,0.665413,0.000000,0.896621,0.642524,0.000000,0.000000,07:41
